"gnaf_pid","flat_number","number_first","street_name","street_type","locality_name","postcode","state"
"GANSW705647478","UNIT 3",59,"INVERNESS","AVENUE","PENSHURST",2222,"NSW",
"GANSW704384670","UNIT 10",30,"ARCHER","STREET","CHATSWOOD",2067,"NSW",
"GANSW716607633","UNIT 1",95,"GARDINER","ROAD","ORANGE",2800,"NSW",
"GANSW704527834",,26,"LINKS","AVENUE","CRONULLA",2230,"NSW",
"GANSW704579026",,13,"VALLEY","ROAD","DENHAMS BEACH",2536,"NSW",
"GANSW712760955","UNIT 17",39,"MACARTHUR","STREET","GRIFFITH",2680,"NSW",
"GANSW704356027",,66,"MILLERS","ROAD","CATTAI",2756,"NSW",
"GANSW705978672",,74,"CANYON","DRIVE","STANHOPE GARDENS",2768,"NSW",
"GANSW717662718","UNIT 744",9,"ROTHSCHILD","AVENUE","ROSEBERY",2768,"NSW",
"GANSW710590397","UNIT 303",2,"DIND","STREET","MILSONS POINT",2768,"NSW"